Users,Breed,Age,Training,Rating,Difficulty Level,Dog Response,Duration Preferences
929,Golden Retriever,15,On and Off Sight Stay,4.9,Advanced,Confident Learner,Long Sessions
930,Chihuahua,3,Sit,5,Basic,Quick Learner,Medium Sessions
931,Labrador Retriever,20,Off Leash Sit Stay,5,Advanced,Needs More Guidance,Multiple Short Sessions per Day
932,Chihuahua,10,Shake Hands,4,Intermediate,Confident Learner,No strict preference
933,Golden Retriever,19,Long Stay Off Leash,1.6,Advanced,Focused but Distractible,Long Sessions
934,Pomeranian,6,Sit Stay,4.4,Basic,Confident Learner,Medium Sessions
935,Pomeranian,18,Long Stay Off Leash,4,Advanced,Working on Tricks,Multiple Short Sessions per Day
936,Dalmatian,16,Off Leash Sit,2,Advanced,Focused but Distractible,Multiple Short Sessions per Day
937,German Shepherd,20,Off Leash Sit,3.3,Advanced,Focused but Distractible,Long Sessions
938,Poodle,4,Sit,3,Basic,Needs More Guidance,Medium Sessions
939,Chihuahua,9,Fetch,3.9,Intermediate,Quick Learner,No strict preference
940,Beagle,22,Off Leash Down Stay,3.4,Advanced,Quick Learner,Short Sessions
941,German Shepherd,8,Play Dead,4,Intermediate,Very Responsive,Long Sessions
942,Pug,21,Off Leash Sit,4,Advanced,Quick Learner,Short Sessions
943,Dalmatian,6,Heel,5,Basic,Working on Tricks,Multiple Short Sessions per Day
944,Golden Retriever,15,On and Off Sight Stay,4.9,Advanced,Confident Learner,Long Sessions
945,Chihuahua,3,Sit,5,Basic,Quick Learner,Medium Sessions
946,Labrador Retriever,20,Off Leash Sit Stay,5,Advanced,Needs More Guidance,Multiple Short Sessions per Day
947,Dalmatian,16,Off Leash Sit,2.7,Advanced,Focused but Distractible,Multiple Short Sessions per Day
948,German Shepherd,20,Off Leash Sit,3.3,Advanced,Focused but Distractible,Long Sessions
949,Poodle,18,Sit,3,Basic,Needs More Guidance,Medium Sessions
950,Chihuahua,9,Fetch,3,Intermediate,Quick Learner,No strict preference
951,Beagle,22,Off Leash Down Stay,3.4,Advanced,Quick Learner,Short Sessions
952,German Shepherd,8,Play Dead,4,Intermediate,Very Responsive,Long Sessions
953,Pug,21,Off Leash Sit,4,Advanced,Quick Learner,Short Sessions
954,Dalmatian,6,Heel,2.1,Basic,Working on Tricks,Multiple Short Sessions per Day
955,Golden Retriever,15,On and Off Sight Stay,4.9,Advanced,Confident Learner,Long Sessions
956,Chihuahua,3,Sit,5,Basic,Quick Learner,Medium Sessions
957,Labrador Retriever,20,Off Leash Sit Stay,5,Advanced,Needs More Guidance,Multiple Short Sessions per Day
958,Chihuahua,10,Shake Hands,4,Intermediate,Confident Learner,No strict preference
959,Golden Retriever,19,Long Stay Off Leash,1.6,Advanced,Focused but Distractible,Long Sessions
960,Pomeranian,6,Sit Stay,4.4,Basic,Confident Learner,Medium Sessions
961,Pomeranian,18,Long Stay Off Leash,4,Advanced,Working on Tricks,Multiple Short Sessions per Day
962,Dalmatian,21,Off Leash Down Stay,4.3,Advanced,Very Responsive,Short Sessions
963,Chihuahua,16,Off Leash Sit,2.9,Advanced,Working on Tricks,Multiple Short Sessions per Day
964,Beagle,8,Roll Over,4,Intermediate,Focused but Distractible,Medium Sessions
965,Beagle,10,Loose Leash Walking,3.7,Intermediate,Focused but Distractible,Medium Sessions
966,Pug,20,Long Stay Off Leash,2.3,Advanced,Very Responsive,Medium Sessions
967,Pomeranian,19,On and Off Sight Stay,5,Advanced,Working on Tricks,Multiple Short Sessions per Day
968,Rottweiler,18,Off Leash Down Stay,5,Advanced,Focused but Distractible,Multiple Short Sessions per Day
969,Dalmatian,16,Off Leash Sit,2,Advanced,Focused but Distractible,Multiple Short Sessions per Day
970,German Shepherd,20,Off Leash Sit,3.3,Advanced,Focused but Distractible,Long Sessions
971,Poodle,23,Sit,3,Basic,Needs More Guidance,Medium Sessions
972,Chihuahua,9,Fetch,3,Intermediate,Quick Learner,No strict preference
973,Beagle,22,Off Leash Down Stay,3.4,Advanced,Quick Learner,Short Sessions
974,German Shepherd,8,Play Dead,4,Intermediate,Very Responsive,Long Sessions
975,Pug,21,Off Leash Sit,1.9,Advanced,Quick Learner,Short Sessions
976,Dalmatian,6,Heel,5,Basic,Working on Tricks,Multiple Short Sessions per Day
977,Golden Retriever,15,On and Off Sight Stay,4.9,Advanced,Confident Learner,Long Sessions
978,Chihuahua,3,Sit,5,Basic,Quick Learner,Medium Sessions
979,Labrador Retriever,20,Off Leash Sit Stay,5,Advanced,Needs More Guidance,Multiple Short Sessions per Day
980,Chihuahua,10,Shake Hands,4,Intermediate,Confident Learner,No strict preference
981,Golden Retriever,19,Long Stay Off Leash,1.6,Advanced,Focused but Distractible,Long Sessions
982,Pomeranian,6,Sit Stay,4.4,Basic,Confident Learner,Medium Sessions
983,Pomeranian,18,Long Stay Off Leash,4,Advanced,Working on Tricks,Multiple Short Sessions per Day
984,Dalmatian,16,Off Leash Sit,2,Advanced,Focused but Distractible,Multiple Short Sessions per Day
985,German Shepherd,20,Off Leash Sit,3.3,Advanced,Focused but Distractible,Long Sessions
986,Poodle,22,Sit,3,Basic,Needs More Guidance,Medium Sessions
987,Chihuahua,9,Fetch,3,Intermediate,Quick Learner,No strict preference
988,Beagle,22,Off Leash Down Stay,3.4,Advanced,Quick Learner,Short Sessions
989,German Shepherd,8,Play Dead,4,Intermediate,Very Responsive,Long Sessions
990,Pug,21,Off Leash Sit,4,Advanced,Quick Learner,Short Sessions
991,Dalmatian,6,Heel,1.8,Basic,Working on Tricks,Multiple Short Sessions per Day
992,Golden Retriever,15,On and Off Sight Stay,4.9,Advanced,Confident Learner,Long Sessions
993,Chihuahua,3,Sit,5,Basic,Quick Learner,Medium Sessions
994,Labrador Retriever,20,Off Leash Sit Stay,1.2,Advanced,Needs More Guidance,Multiple Short Sessions per Day
995,Chihuahua,10,Shake Hands,4,Intermediate,Confident Learner,No strict preference
996,Golden Retriever,19,Long Stay Off Leash,1.6,Advanced,Focused but Distractible,Long Sessions
997,Pomeranian,6,Sit Stay,4.4,Basic,Confident Learner,Medium Sessions
998,Pomeranian,18,Long Stay Off Leash,4,Advanced,Working on Tricks,Multiple Short Sessions per Day
999,Dalmatian,21,Off Leash Down Stay,4.3,Advanced,Very Responsive,Short Sessions
1000,Chihuahua,16,Off Leash Sit,2.9,Advanced,Working on Tricks,Multiple Short Sessions per Day
1001,Labrador Retriever,10,Off Leash Sit Stay,3.3,Basic,Quick Learner,Multiple Short Sessions per Day
1002,Aspin,19,Down Stay,4.3,Advanced,Needs More Guidance,Long Sessions
1003,Siberian Husky,6,Off Leash Sit Stay,2.9,Intermediate,Confident Learner,Multiple Short Sessions per Day
1004,Beagle,18,Shake Hands,4,Advanced,Focused but Distractible,Multiple Short Sessions per Day
1005,Golden Retriever,21,On and Off Sight Stay,3.7,Advanced,Confident Learner,No strict preference
1006,Bulldog,20,Off Leash Down Stay,5,Intermediate,Working on Tricks,Long Sessions
1007,Aspin,15,Off Leash Sit,4.2,Intermediate,Focused but Distractible,Medium Sessions
1008,German Shepherd,17,Roll Over,3.1,Advanced,Focused but Distractible,Multiple Short Sessions per Day
1009,Pug,6,Loose Leash Walking,2,Intermediate,Focused but Distractible,Short Sessions
1010,Shih Tzu,18,Long Stay Off Leash,4,Advanced,Needs More Guidance,Multiple Short Sessions per Day
1011,Golden Retriever,10,On and Off Sight Stay,2,Basic,Quick Learner,Medium Sessions
1012,Shih Tzu,17,Off Leash Down Stay,3,Advanced,Quick Learner,Medium Sessions
1013,Labrador Retriever,6,Off Leash Sit,2,Basic,Very Responsive,Medium Sessions
1014,Pomeranian,15,Off Leash Down Stay,4,Advanced,Quick Learner,Multiple Short Sessions per Day
1015,German Shepherd,3,Off Leash Sit Stay,3,Intermediate,Working on Tricks,Multiple Short Sessions per Day
1016,Pomeranian,20,Heel,4,Advanced,Confident Learner,Multiple Short Sessions per Day
1017,Bulldog,20,Off Leash Down Stay,5,Basic,Working on Tricks,Long Sessions
1018,Aspin,15,Off Leash Sit,4.2,Advanced,Focused but Distractible,Medium Sessions
1019,German Shepherd,17,Roll Over,3.1,Advanced,Focused but Distractible,Multiple Short Sessions per Day
1020,Pug,6,Loose Leash Walking,2,Basic,Focused but Distractible,Short Sessions
1021,Shih Tzu,18,Long Stay Off Leash,4,Intermediate,Needs More Guidance,Multiple Short Sessions per Day
1022,Golden Retriever,10,On and Off Sight Stay,2,Advanced,Quick Learner,Medium Sessions
1023,Shih Tzu,17,Off Leash Down Stay,3,Intermediate,Quick Learner,Medium Sessions
1024,Labrador Retriever,6,Off Leash Sit,2,Advanced,Very Responsive,Medium Sessions
1025,Pomeranian,15,Off Leash Down Stay,4,Basic,Quick Learner,Multiple Short Sessions per Day
1026,German Shepherd,3,Off Leash Sit Stay,3,Advanced,Working on Tricks,Multiple Short Sessions per Day
1027,Pomeranian,20,Heel,4,Basic,Confident Learner,Multiple Short Sessions per Day
1028,Labrador Retriever,10,Off Leash Sit Stay,3.3,Advanced,Quick Learner,Multiple Short Sessions per Day
1029,Aspin,19,Down Stay,4.3,Intermediate,Needs More Guidance,Long Sessions
1030,Dalmatian,16,Off Leash Sit,2,Advanced,Focused but Distractible,Multiple Short Sessions per Day
1031,German Shepherd,20,Off Leash Sit,3.3,Advanced,Focused but Distractible,Long Sessions
1032,Poodle,7,Sit,3,Basic,Needs More Guidance,Medium Sessions
1033,Chihuahua,9,Fetch,3,Intermediate,Quick Learner,No strict preference
1034,Beagle,22,Off Leash Down Stay,3.4,Advanced,Quick Learner,Short Sessions
1035,German Shepherd,8,Play Dead,4,Intermediate,Very Responsive,Long Sessions
1036,Pug,21,Off Leash Sit,4,Advanced,Quick Learner,Short Sessions
1037,Dalmatian,6,Heel,5,Basic,Working on Tricks,Multiple Short Sessions per Day
1038,Golden Retriever,15,On and Off Sight Stay,4.9,Advanced,Confident Learner,Long Sessions
1039,Chihuahua,3,Sit,5,Basic,Quick Learner,Medium Sessions
1040,Labrador Retriever,20,Off Leash Sit Stay,5,Advanced,Needs More Guidance,Multiple Short Sessions per Day
1041,Chihuahua,10,Shake Hands,4,Intermediate,Confident Learner,No strict preference
1042,Golden Retriever,19,Long Stay Off Leash,1.6,Advanced,Focused but Distractible,Long Sessions
1043,Dalmatian,16,Off Leash Sit,2,Advanced,Focused but Distractible,Multiple Short Sessions per Day
1044,German Shepherd,20,Off Leash Sit,3.3,Advanced,Focused but Distractible,Long Sessions
1045,Poodle,9,Sit,3,Basic,Needs More Guidance,Medium Sessions
1046,Chihuahua,9,Fetch,3,Intermediate,Quick Learner,No strict preference
1047,Beagle,22,Off Leash Down Stay,3.4,Advanced,Quick Learner,Short Sessions
1048,German Shepherd,8,Play Dead,4,Intermediate,Very Responsive,Long Sessions
1049,Pug,21,Off Leash Sit,4,Advanced,Quick Learner,Short Sessions
1050,Dalmatian,6,Heel,5,Basic,Working on Tricks,Multiple Short Sessions per Day
1051,Labrador Retriever,10,Off Leash Sit Stay,3.3,Basic,Quick Learner,Multiple Short Sessions per Day
1052,Aspin,19,Down Stay,4.3,Advanced,Needs More Guidance,Long Sessions
1053,Siberian Husky,6,Off Leash Sit Stay,2.9,Basic,Confident Learner,Multiple Short Sessions per Day
1054,Beagle,18,Shake Hands,4,Advanced,Focused but Distractible,Multiple Short Sessions per Day
1055,Golden Retriever,21,On and Off Sight Stay,3.7,Intermediate,Confident Learner,No strict preference
1056,Bulldog,20,Off Leash Down Stay,5,Advanced,Working on Tricks,Long Sessions
1057,Aspin,15,Off Leash Sit,4.2,Basic,Focused but Distractible,Medium Sessions
1058,German Shepherd,17,Roll Over,3.1,Advanced,Focused but Distractible,Multiple Short Sessions per Day
1059,Pug,6,Loose Leash Walking,2,Advanced,Focused but Distractible,Short Sessions
1060,Shih Tzu,18,Long Stay Off Leash,4,Advanced,Needs More Guidance,Multiple Short Sessions per Day
1061,Golden Retriever,10,On and Off Sight Stay,2,Intermediate,Quick Learner,Medium Sessions
1062,Shih Tzu,17,Off Leash Down Stay,3,Intermediate,Quick Learner,Medium Sessions
1063,Labrador Retriever,6,Off Leash Sit,2,Advanced,Very Responsive,Medium Sessions
1064,Pomeranian,15,Off Leash Down Stay,4,Advanced,Quick Learner,Multiple Short Sessions per Day
1065,German Shepherd,3,Off Leash Sit Stay,3,Advanced,Working on Tricks,Multiple Short Sessions per Day
1066,Pomeranian,20,Heel,4,Advanced,Confident Learner,Multiple Short Sessions per Day
1067,Bulldog,20,Off Leash Down Stay,5,Advanced,Working on Tricks,Long Sessions
1068,Aspin,15,Off Leash Sit,4.2,Advanced,Focused but Distractible,Medium Sessions
1069,German Shepherd,17,Roll Over,3.1,Intermediate,Focused but Distractible,Multiple Short Sessions per Day
1070,Pug,6,Loose Leash Walking,2,Advanced,Focused but Distractible,Short Sessions
1071,Shih Tzu,18,Long Stay Off Leash,4,Intermediate,Needs More Guidance,Multiple Short Sessions per Day
1072,Golden Retriever,10,On and Off Sight Stay,2,Advanced,Quick Learner,Medium Sessions
1073,Shih Tzu,17,Off Leash Down Stay,3,Basic,Quick Learner,Medium Sessions
1074,Labrador Retriever,6,Off Leash Sit,2,Advanced,Very Responsive,Medium Sessions
1075,Pomeranian,15,Off Leash Down Stay,4,Basic,Quick Learner,Multiple Short Sessions per Day
1076,German Shepherd,3,Off Leash Sit Stay,3,Advanced,Working on Tricks,Multiple Short Sessions per Day
1077,Pomeranian,20,Heel,4,Intermediate,Confident Learner,Multiple Short Sessions per Day
1078,Labrador Retriever,10,Off Leash Sit Stay,3.3,Advanced,Quick Learner,Multiple Short Sessions per Day
1079,Aspin,19,Down Stay,4.3,Basic,Needs More Guidance,Long Sessions
1080,Dalmatian,16,Off Leash Sit,2,Advanced,Focused but Distractible,Multiple Short Sessions per Day
1081,Labrador Retriever,10,Off Leash Sit Stay,3.3,Advanced,Quick Learner,Multiple Short Sessions per Day
1082,Aspin,19,Down Stay,4.3,Advanced,Needs More Guidance,Long Sessions
1083,Siberian Husky,6,Off Leash Sit Stay,2.9,Advanced,Confident Learner,Multiple Short Sessions per Day
1084,Beagle,18,Shake Hands,4,Intermediate,Focused but Distractible,Multiple Short Sessions per Day
1085,Golden Retriever,21,On and Off Sight Stay,3.7,Advanced,Confident Learner,No strict preference
1086,Bulldog,20,Off Leash Down Stay,5,Intermediate,Working on Tricks,Long Sessions
1087,Aspin,15,Off Leash Sit,4.2,Advanced,Focused but Distractible,Medium Sessions
1088,German Shepherd,17,Roll Over,3.1,Basic,Focused but Distractible,Multiple Short Sessions per Day
1089,Pug,6,Loose Leash Walking,2,Advanced,Focused but Distractible,Short Sessions
1090,Shih Tzu,18,Long Stay Off Leash,4,Basic,Needs More Guidance,Multiple Short Sessions per Day
1091,Golden Retriever,10,On and Off Sight Stay,2,Advanced,Quick Learner,Medium Sessions
1092,Shih Tzu,17,Off Leash Down Stay,3,Intermediate,Quick Learner,Medium Sessions
1093,Labrador Retriever,6,Off Leash Sit,2,Advanced,Very Responsive,Medium Sessions
1094,Pomeranian,15,Off Leash Down Stay,4,Basic,Quick Learner,Multiple Short Sessions per Day
1095,German Shepherd,3,Off Leash Sit Stay,3,Advanced,Working on Tricks,Multiple Short Sessions per Day
1096,Pomeranian,20,Heel,4,Advanced,Confident Learner,Multiple Short Sessions per Day
1097,Bulldog,20,Off Leash Down Stay,5,Advanced,Working on Tricks,Long Sessions
1098,Aspin,15,Off Leash Sit,4.2,Intermediate,Focused but Distractible,Medium Sessions
1099,German Shepherd,17,Roll Over,3.1,Advanced,Focused but Distractible,Multiple Short Sessions per Day
1100,Pug,6,Loose Leash Walking,2,Basic,Focused but Distractible,Short Sessions
1101,Shih Tzu,18,Long Stay Off Leash,4,Advanced,Needs More Guidance,Multiple Short Sessions per Day
1102,Golden Retriever,10,On and Off Sight Stay,2,Advanced,Quick Learner,Medium Sessions
1103,Shih Tzu,17,Off Leash Down Stay,3,Advanced,Quick Learner,Medium Sessions
1104,Labrador Retriever,6,Off Leash Sit,2,Advanced,Very Responsive,Medium Sessions
1105,Pomeranian,15,Off Leash Down Stay,4,Advanced,Quick Learner,Multiple Short Sessions per Day
1106,German Shepherd,3,Off Leash Sit Stay,3,Basic,Working on Tricks,Multiple Short Sessions per Day
1107,Pomeranian,20,Heel,4,Advanced,Confident Learner,Multiple Short Sessions per Day
1108,Labrador Retriever,10,Off Leash Sit Stay,3.3,Intermediate,Quick Learner,Multiple Short Sessions per Day
1109,Aspin,19,Down Stay,4.3,Advanced,Needs More Guidance,Long Sessions
1110,Siberian Husky,6,Off Leash Sit Stay,2.9,Basic,Confident Learner,Multiple Short Sessions per Day
1111,Beagle,18,Shake Hands,4,Advanced,Focused but Distractible,Multiple Short Sessions per Day
1112,Golden Retriever,21,On and Off Sight Stay,3.7,Basic,Confident Learner,No strict preference
1113,Bulldog,20,Off Leash Down Stay,5,Advanced,Working on Tricks,Long Sessions
1114,Aspin,15,Off Leash Sit,4.2,Advanced,Focused but Distractible,Medium Sessions
1115,German Shepherd,17,Roll Over,3.1,Advanced,Focused but Distractible,Multiple Short Sessions per Day
1116,Pug,6,Loose Leash Walking,2,Advanced,Focused but Distractible,Short Sessions
1117,Shih Tzu,18,Long Stay Off Leash,4,Basic,Needs More Guidance,Multiple Short Sessions per Day
1118,Golden Retriever,10,On and Off Sight Stay,2,Advanced,Quick Learner,Medium Sessions
1119,Shih Tzu,17,Off Leash Down Stay,3,Intermediate,Quick Learner,Medium Sessions
1120,Labrador Retriever,6,Off Leash Sit,2,Advanced,Very Responsive,Medium Sessions
1121,Pomeranian,15,Off Leash Down Stay,4,Basic,Quick Learner,Multiple Short Sessions per Day
1122,Labrador Retriever,10,Off Leash Sit Stay,3.3,Advanced,Quick Learner,Multiple Short Sessions per Day
1123,Aspin,19,Down Stay,4.3,Basic,Needs More Guidance,Long Sessions
1124,Siberian Husky,6,Off Leash Sit Stay,2.9,Advanced,Confident Learner,Multiple Short Sessions per Day
1125,Beagle,18,Shake Hands,4,Intermediate,Focused but Distractible,Multiple Short Sessions per Day
1126,Golden Retriever,21,On and Off Sight Stay,3.7,Advanced,Confident Learner,No strict preference
1127,Bulldog,20,Off Leash Down Stay,5,Advanced,Working on Tricks,Long Sessions
1128,Aspin,15,Off Leash Sit,4.2,Advanced,Focused but Distractible,Medium Sessions
1129,German Shepherd,17,Roll Over,3.1,Intermediate,Focused but Distractible,Multiple Short Sessions per Day
1130,Pug,6,Loose Leash Walking,2,Intermediate,Focused but Distractible,Short Sessions
1131,Shih Tzu,18,Long Stay Off Leash,4,Advanced,Needs More Guidance,Multiple Short Sessions per Day
1132,Golden Retriever,10,On and Off Sight Stay,2,Intermediate,Quick Learner,Medium Sessions
1133,Shih Tzu,17,Off Leash Down Stay,3,Advanced,Quick Learner,Medium Sessions
1134,Labrador Retriever,6,Off Leash Sit,2,Basic,Very Responsive,Medium Sessions
1135,Labrador Retriever,10,Off Leash Sit Stay,3.3,Advanced,Quick Learner,Multiple Short Sessions per Day
1136,Aspin,19,Down Stay,4.3,Basic,Needs More Guidance,Long Sessions
1137,Siberian Husky,6,Off Leash Sit Stay,2.9,Advanced,Confident Learner,Multiple Short Sessions per Day
1138,Beagle,18,Shake Hands,4,Intermediate,Focused but Distractible,Multiple Short Sessions per Day
1139,Golden Retriever,21,On and Off Sight Stay,3.7,Advanced,Confident Learner,No strict preference
1140,Bulldog,20,Off Leash Down Stay,5,Advanced,Working on Tricks,Long Sessions
1141,Aspin,15,Off Leash Sit,4.2,Advanced,Focused but Distractible,Medium Sessions
1142,German Shepherd,17,Roll Over,3.1,Intermediate,Focused but Distractible,Multiple Short Sessions per Day
1143,Pug,6,Loose Leash Walking,2,Intermediate,Focused but Distractible,Short Sessions
1144,Shih Tzu,18,Long Stay Off Leash,4,Advanced,Needs More Guidance,Multiple Short Sessions per Day
1145,Golden Retriever,10,On and Off Sight Stay,2,Intermediate,Quick Learner,Medium Sessions
1146,Shih Tzu,17,Off Leash Down Stay,3,Advanced,Quick Learner,Medium Sessions
1147,Labrador Retriever,6,Off Leash Sit,2,Basic,Very Responsive,Medium Sessions
1148,Pomeranian,15,Off Leash Down Stay,4,Intermediate,Quick Learner,Multiple Short Sessions per Day
1149,German Shepherd,3,Off Leash Sit Stay,3,Advanced,Working on Tricks,Multiple Short Sessions per Day
1150,Pomeranian,20,Heel,4,Basic,Confident Learner,Multiple Short Sessions per Day
1151,Bulldog,20,Off Leash Down Stay,5,Advanced,Working on Tricks,Long Sessions
1152,Aspin,15,Off Leash Sit,4.2,Advanced,Focused but Distractible,Medium Sessions
1153,German Shepherd,17,Roll Over,3.1,Advanced,Focused but Distractible,Multiple Short Sessions per Day
1154,Pug,6,Loose Leash Walking,2,Advanced,Focused but Distractible,Short Sessions
1155,Shih Tzu,18,Long Stay Off Leash,4,Advanced,Needs More Guidance,Multiple Short Sessions per Day
1156,Golden Retriever,10,On and Off Sight Stay,2,Basic,Quick Learner,Medium Sessions
1157,Shih Tzu,17,Off Leash Down Stay,3,Advanced,Quick Learner,Medium Sessions
1158,Labrador Retriever,6,Off Leash Sit,2,Intermediate,Very Responsive,Medium Sessions
1159,Pomeranian,15,Off Leash Down Stay,4,Advanced,Quick Learner,Multiple Short Sessions per Day
1160,Labrador Retriever,10,Off Leash Sit Stay,3.3,Basic,Quick Learner,Multiple Short Sessions per Day
1161,Aspin,19,Down Stay,4.3,Advanced,Needs More Guidance,Long Sessions
1162,Siberian Husky,6,Off Leash Sit Stay,2.9,Basic,Confident Learner,Multiple Short Sessions per Day
1163,Beagle,18,Shake Hands,4,Advanced,Focused but Distractible,Multiple Short Sessions per Day
1164,Golden Retriever,21,On and Off Sight Stay,3.7,Advanced,Confident Learner,No strict preference
1165,Bulldog,20,Off Leash Down Stay,5,Advanced,Working on Tricks,Long Sessions
1166,Aspin,15,Off Leash Sit,4.2,Advanced,Focused but Distractible,Medium Sessions
1167,German Shepherd,17,Roll Over,3.1,Basic,Focused but Distractible,Multiple Short Sessions per Day
1168,Pug,6,Loose Leash Walking,2,Advanced,Focused but Distractible,Short Sessions
1169,Shih Tzu,18,Long Stay Off Leash,4,Intermediate,Needs More Guidance,Multiple Short Sessions per Day
1170,Golden Retriever,10,On and Off Sight Stay,2,Advanced,Quick Learner,Medium Sessions
1171,Shih Tzu,17,Off Leash Down Stay,3,Basic,Quick Learner,Medium Sessions
1172,Labrador Retriever,6,Off Leash Sit,2,Advanced,Very Responsive,Medium Sessions
1173,Pomeranian,15,Off Leash Down Stay,4,Basic,Quick Learner,Multiple Short Sessions per Day
1174,German Shepherd,3,Off Leash Sit Stay,3,Advanced,Working on Tricks,Multiple Short Sessions per Day
1175,Pomeranian,20,Heel,4,Intermediate,Confident Learner,Multiple Short Sessions per Day
1176,Bulldog,20,Off Leash Down Stay,5,Advanced,Working on Tricks,Long Sessions
1177,Labrador Retriever,10,Off Leash Sit Stay,3.3,Advanced,Quick Learner,Multiple Short Sessions per Day
1178,Aspin,19,Down Stay,4.3,Intermediate,Needs More Guidance,Long Sessions
1179,Siberian Husky,6,Off Leash Sit Stay,2.9,Advanced,Confident Learner,Multiple Short Sessions per Day
1180,Beagle,18,Shake Hands,4,Basic,Focused but Distractible,Multiple Short Sessions per Day
1181,Golden Retriever,21,On and Off Sight Stay,3.7,Advanced,Confident Learner,No strict preference
1182,Bulldog,20,Off Leash Down Stay,5,Advanced,Working on Tricks,Long Sessions
1183,Aspin,15,Off Leash Sit,4.2,Advanced,Focused but Distractible,Medium Sessions
1184,German Shepherd,17,Roll Over,3.1,Advanced,Focused but Distractible,Multiple Short Sessions per Day
1185,Pug,6,Loose Leash Walking,2,Advanced,Focused but Distractible,Short Sessions
1186,Shih Tzu,18,Long Stay Off Leash,4,Basic,Needs More Guidance,Multiple Short Sessions per Day
1187,Golden Retriever,10,On and Off Sight Stay,2,Advanced,Quick Learner,Medium Sessions
1188,Shih Tzu,17,Off Leash Down Stay,3,Intermediate,Quick Learner,Medium Sessions
1189,Labrador Retriever,6,Off Leash Sit,2,Advanced,Very Responsive,Medium Sessions
1190,Pomeranian,15,Off Leash Down Stay,4,Basic,Quick Learner,Multiple Short Sessions per Day
1191,German Shepherd,3,Off Leash Sit Stay,3,Advanced,Working on Tricks,Multiple Short Sessions per Day
1192,Pomeranian,20,Heel,4,Basic,Confident Learner,Multiple Short Sessions per Day
1193,Bulldog,20,Off Leash Down Stay,5,Advanced,Working on Tricks,Long Sessions
1194,Aspin,15,Off Leash Sit,4.2,Advanced,Focused but Distractible,Medium Sessions
1195,German Shepherd,17,Roll Over,3.1,Advanced,Focused but Distractible,Multiple Short Sessions per Day
1196,Pug,6,Loose Leash Walking,2,Advanced,Focused but Distractible,Short Sessions
1197,Shih Tzu,18,Long Stay Off Leash,4,Basic,Needs More Guidance,Multiple Short Sessions per Day
1198,Golden Retriever,10,On and Off Sight Stay,2,Advanced,Quick Learner,Medium Sessions
1199,Shih Tzu,17,Off Leash Down Stay,3,Intermediate,Quick Learner,Medium Sessions
1200,Labrador Retriever,6,Off Leash Sit,2,Advanced,Very Responsive,Medium Sessions
1201,Pomeranian,15,Off Leash Down Stay,4,Basic,Quick Learner,Multiple Short Sessions per Day
1202,German Shepherd,3,Off Leash Sit Stay,3,Advanced,Working on Tricks,Multiple Short Sessions per Day
1203,Pomeranian,20,Heel,4,Basic,Confident Learner,Multiple Short Sessions per Day
1204,Labrador Retriever,10,Off Leash Sit Stay,3.3,Advanced,Quick Learner,Multiple Short Sessions per Day
1205,Aspin,19,Down Stay,4.3,Intermediate,Needs More Guidance,Long Sessions
1206,Dalmatian,16,Off Leash Sit,2,Advanced,Focused but Distractible,Multiple Short Sessions per Day
1207,Labrador Retriever,10,Off Leash Sit Stay,3.3,Basic,Quick Learner,Multiple Short Sessions per Day
1208,Aspin,19,Down Stay,4.3,Advanced,Needs More Guidance,Long Sessions
1209,Siberian Husky,6,Off Leash Sit Stay,2.9,Advanced,Confident Learner,Multiple Short Sessions per Day
1210,Beagle,18,Shake Hands,4,Advanced,Focused but Distractible,Multiple Short Sessions per Day
1211,Golden Retriever,21,On and Off Sight Stay,3.7,Advanced,Confident Learner,No strict preference
1212,Bulldog,20,Off Leash Down Stay,5,Advanced,Working on Tricks,Long Sessions
1213,Aspin,15,Off Leash Sit,4.2,Basic,Focused but Distractible,Medium Sessions
1214,German Shepherd,17,Roll Over,3.1,Advanced,Focused but Distractible,Multiple Short Sessions per Day
1215,Pug,6,Loose Leash Walking,2,Intermediate,Focused but Distractible,Short Sessions
1216,Shih Tzu,18,Long Stay Off Leash,4,Advanced,Needs More Guidance,Multiple Short Sessions per Day
1217,Golden Retriever,10,On and Off Sight Stay,2,Basic,Quick Learner,Medium Sessions
1218,Shih Tzu,17,Off Leash Down Stay,3,Advanced,Quick Learner,Medium Sessions
1219,Labrador Retriever,6,Off Leash Sit,2,Intermediate,Very Responsive,Medium Sessions
1220,Pomeranian,15,Off Leash Down Stay,4,Advanced,Quick Learner,Multiple Short Sessions per Day
1221,German Shepherd,3,Off Leash Sit Stay,3,Basic,Working on Tricks,Multiple Short Sessions per Day
1222,Pomeranian,20,Heel,4,Advanced,Confident Learner,Multiple Short Sessions per Day
1223,Bulldog,20,Off Leash Down Stay,5,Advanced,Working on Tricks,Long Sessions
1224,Aspin,15,Off Leash Sit,4.2,Advanced,Focused but Distractible,Medium Sessions
1225,German Shepherd,17,Roll Over,3.1,Advanced,Focused but Distractible,Multiple Short Sessions per Day
1226,Pug,6,Loose Leash Walking,2,Advanced,Focused but Distractible,Short Sessions
1227,Shih Tzu,18,Long Stay Off Leash,4,Basic,Needs More Guidance,Multiple Short Sessions per Day
1228,Golden Retriever,10,On and Off Sight Stay,2,Advanced,Quick Learner,Medium Sessions
